sector,site_description_local,latitude,longitude,import,road
cameras_report_nwregion_foi,QW05   Gantry   K SPUR,53.5297,357.629,N, NaN
cameras_report_nwregion_foi,35223 M55 22/2B J1 LIGHTFOOT GREEN,53.7976,357.271,Y,M55 
cameras_report_nwregion_foi,M61 3/7B J7B,53.5397,357.61,Y,M61 
cameras_report_nwregion_foi,35242 M55 24/2B J1 BROUGHTON ISLAND,53.8005,357.282,Y,M55 
cameras_report_nwregion_foi,35253 M55 25/2B J32 JKLM ROUTE SPLIT,53.8049,357.294,Y,M55 
cameras_report_nwregion_foi,35257 M6 25/7B J32 FYLDE HIGHER BRDG,53.8097,357.3,Y,M6 
cameras_report_nwregion_foi,36005 M602 0/5A J1 ECCLES INTER,53.4881,357.624,Y,M602 
cameras_report_nwregion_foi,36017 M602 1/7A J1 J2 CANAL BANK,53.4892,357.642,Y,M602 
cameras_report_nwregion_foi,36032 M602 3/2B J2 W GILDA BK,53.4857,357.662,Y,M602 
cameras_report_nwregion_foi,03605 M602 5/0A J2 J3 E GILDA BK,53.484,357.688,Y,M602 
cameras_report_nwregion_foi,M602 6/9B J3B,53.4801,357.716,Y,M602 
cameras_report_nwregion_foi,36616 M6 261/6L J16 BARTHOMLEY,53.0708,357.666,Y,M6 
cameras_report_nwregion_foi,36643 M6 264/3A J16 J17 NB J16 TO J17,53.0942,357.656,Y,M6 
cameras_report_nwregion_foi,36693 M6 269/3B J17 SB S/BACH SERVS,53.1396,357.663,Y,M6 
cameras_report_nwregion_foi,36716 M6 271/6A J17 NB J17 SANDBACH,53.1577,357.649,Y,M6 
cameras_report_nwregion_foi,M6 J18 17,53.1745,357.639,Y,M6 
cameras_report_nwregion_foi,03677 M6 277/0A J18 NB H/CHAPEL,53.2009,357.612,Y,M6 
cameras_report_nwregion_foi,36814 M6 281/4A J18 J19 NB J18 TO J19,53.2395,357.599,Y,M6 
cameras_report_nwregion_foi,M6 J18 19,53.2627,357.598,Y,M6 
cameras_report_nwregion_foi,M6 J19 18,53.2665,357.599,Y,M6 
cameras_report_nwregion_foi,36854 M6 285/4B J19 J18 SB J19 TO J18,53.2755,357.602,Y,M6 
cameras_report_nwregion_foi,36883 M6 288/3B J19 SB K/FORD SERVS,53.3008,357.598,Y,M6 
cameras_report_nwregion_foi,M6 J19 Approach Tabley,53.3108,357.585,Y,M6 
cameras_report_nwregion_foi,36898 M6 289/8A J19 TABLEY,53.3111,357.582,Y,M6 
cameras_report_nwregion_foi,M6 290/7A J19 20,53.3162,357.572,Y,M6 
cameras_report_nwregion_foi,M6 J20A 19,53.3211,357.562,Y,M6
cameras_report_nwregion_foi,M6 J20A 19,53.325,357.547,Y,M6
cameras_report_nwregion_foi,M6 J20A 19,53.3314,357.526,Y,M6
cameras_report_nwregion_foi,36962 M6 296/2A J19 NB LYMM APPROACH,53.3446,357.505,Y,M6 
cameras_report_nwregion_foi,36974 M6 M56 297/4A J20a LYMM INTER,53.352,357.497,Y,M6 
cameras_report_nwregion_foi,36985 M6 298/5A J19 A50 LYMM,53.3614,357.49,Y,M6 
cameras_report_nwregion_foi,37008 M6 300/8A J20 NB THELWALL,53.3826,357.495,Y,M6 
cameras_report_nwregion_foi,37024 M6 302/4A J21 THELWALL,53.3964,357.491,Y,M6 
cameras_report_nwregion_foi,37046 M6 304/6A J21 21A NB WOOLSTON,53.4106,357.468,Y,M6 
cameras_report_nwregion_foi,03706 M6 306/0A J21A NB CROFT APPROACH,53.4193,357.453,Y,M6 
cameras_report_nwregion_foi,37074 M6 307/4B J21A SB CROFT INTER,53.4288,357.44,Y,M6 
cameras_report_nwregion_foi,37093 M6 309/3B J22 WINWICK LNK,53.4398,357.417,Y,M6 
cameras_report_nwregion_foi,37110 M6 311/0A J23 PARKSIDE,53.451,-2.59944,Y,M6 
cameras_report_nwregion_foi,37124 M6 312/4B J23 NE RCC ROB LANE,53.4614,357.387,Y,M6 
cameras_report_nwregion_foi,37145 M6 314/5B J23 HAYDOCK S/B,53.4732,357.365,Y,M6 
cameras_report_nwregion_foi,37151 M6 315/1A J23 J24 M6 315/1A J23/24,53.4777,357.359,Y,M6 
cameras_report_nwregion_foi,37161 M6 316/1A J23 J24 LIVERPOOL RD,53.4848,-2.65105,Y,M6 
cameras_report_nwregion_foi,37179 M6 317/9B J25 J24 M6 317/9B J25/24,53.4998,357.342,Y,M6 
cameras_report_nwregion_foi,37195 M6 319/5A J25 J26 BRYN,53.5102,357.325,Y,M6 
cameras_report_nwregion_foi,M6 J25/26,53.5218,357.303,Y,M6 
cameras_report_nwregion_foi,37228 M6 322/8A J25 J26 ORRELL ISLAND,53.532,-2.69872,Y,M6 
cameras_report_nwregion_foi,37242 M6 324/2B J27 J26 ORRELL APPROACH,53.5449,357.303,Y,M6 
cameras_report_nwregion_foi,37252 M6 325/2A J26 J27 GATHURST VIADUCT N/B,53.5535,357.298,Y,M6 
cameras_report_nwregion_foi,37264 M6 326/4B J26 J27 GATHURST NORTH,53.565,357.3,Y,M6 
cameras_report_nwregion_foi,37277 M6 327/7 J26 J27,53.5761,357.304,Y,M6 
cameras_report_nwregion_foi,37294 M6 329/4A J27 STANDISH,53.5908,357.306,Y,M6 
cameras_report_nwregion_foi,37338 M6 333/8A J27 CHARNOCK RICHARD,53.6296,357.31,Y,M6 
cameras_report_nwregion_foi,37409 M6 340/9B J28 RYDEN BRIDGE,53.6932,357.323,Y,M6 
cameras_report_nwregion_foi,37412 M6 341/2A J28 LEYLAND,53.6942,357.322,Y,M6 
cameras_report_nwregion_foi,37431 M6 343/1A J29 SOUTH 1,53.7113,357.329,Y,M6 
cameras_report_nwregion_foi,37439 M6 343/9B J29 M65 J1,53.7155,357.339,Y,M6 
cameras_report_nwregion_foi,37444 M6 344/4B J29 BAMBER BRIDGE,53.7189,357.343,Y,M6 
cameras_report_nwregion_foi,37463 M6 346/3B J30 BLACOW SPLIT,53.7352,357.351,Y,M6 
cameras_report_nwregion_foi,37471 M6 347/1A J30 HIGHER WALTON,53.7425,357.349,Y,M6 
cameras_report_nwregion_foi,37486 M6 348/6B J30 CUERDALE,53.7542,357.361,Y,M6 
cameras_report_nwregion_foi,00375 M6 350/0B J31 SAMLESBURY,53.7655,357.364,Y,M6 
cameras_report_nwregion_foi,37514 M6 351/4A J31 POPE LANE BRIDGE,53.7775,357.354,Y,M6 
cameras_report_nwregion_foi,37531 M6 353/1A J31A REDSCAR,53.7899,357.339,Y,M6 
cameras_report_nwregion_foi,37535 M6 353/5B J31A BROUGHTON SOUTH 2,53.7921,357.335,Y,M6 
cameras_report_nwregion_foi,37550 M6 355/0A J32 BROUGHTON SOUTH 1,53.7983,357.315,Y,M6 
cameras_report_nwregion_foi,37570 M6 357/0A J32 BROUGHTON NORTH 1,53.8121,357.295,Y,M6 
cameras_report_nwregion_foi,37575 M6 357/5A J32 BROUGHTON NORTH 2,53.8153,357.289,Y,M6 
cameras_report_nwregion_foi,M6 357/8A J32,53.825,357.282,Y,M6 
cameras_report_nwregion_foi,37649 M6 364/9A J32 33 STUBBINS LANE,53.8783,357.255,Y,M6 
